id_reproduccion,nombre_cancion,año_reproduccion,mes_reproduccion,num_reproducciones,num_likes
7cc29449-0e10-4031-bd74-56001154d9ee,Wish You Were Sober,2020,Septiembre,3249,419
5b08e803-0a14-4246-ad0a-7f420ba3c9ba,As It Was - Harry Styles,2019,Noviembre,669362,124083
fb63a5b5-f898-4634-8d4b-a267dafcfaca,Maniac,2017,Septiembre,5203,356
3d254587-106b-48c7-87cd-799bc7e0748e,Maniac (Acoustic),2022,Marzo,760079,67468
4c446d4a-0de2-4a50-ae43-aa0b9679b568,Shape of You - Ed Sheeran,2018,Agosto,73488,908
a9769734-d970-46d8-9dae-04e83e2c340f,Black or White,2020,Enero,51577,3083
0c9fb4e2-6f9f-4507-892c-85a2acac344d,Smooth Criminal,2019,Enero,30759,2811
0c3dd23c-f295-4c2c-acb4-15467b11f3b1,The Story,2017,Abril,61233,2250
0f556ade-5d29-418a-944b-2d1a381a3bab,Levitating - Dua Lipa,2020,Junio,6210,192
dc80a4ac-c304-4e34-bd74-0046e45edc9f,Man in the Mirror,2015,Junio,3276,204
cb64181e-e5ea-430c-8b18-eade2af899d2,Robin - Taylor Swift,2017,Junio,6230,753
051725a9-94b8-4f88-974a-859e221d1889,"So Long, London - Taylor Swift",2024,Abril,7773,337
96ecf925-b1f4-4e94-b7d1-ac197895250f,Shape of You - Ed Sheeran,2021,Agosto,45037,6487
1ae610eb-88dd-4304-acd4-3341f169917a,Flowers - Miley Cyrus,2021,Septiembre,862,115
8a85e5de-5ffc-4d7a-a700-27566e4c0694,Anti-Hero - Taylor Swift,2015,Noviembre,34323,6162
c24db1ca-1fea-4ad1-97a7-f245ceb5cd7e,Billie Jean,2015,Abril,1857,226
a9373c1c-b67e-429a-a1e1-3004053fa5cd,Blinding Lights - The Weeknd,2021,Junio,751728,37199
51955252-ea0a-4084-bc88-98ee0a235fe2,"Popular - The Weeknd, Madonna, Playboi Carti",2022,Abril,527682,63390
9d9ab46f-5de7-431a-9817-78d97dac1028,The Story,2024,Abril,6202,808
8e829eb6-b353-465a-81e0-bcd8668c0375,"Stay - The Kid LAROI, Justin Bieber",2020,Diciembre,2463,432
408538c8-44c8-4a41-aa0c-819a23ab580a,La Canción,2017,Febrero,536651,45934
a4f96840-5b05-4041-b24c-72630489c7f5,Too Sweet - Hozier,2022,Septiembre,61015,11580
901d6b60-9dd8-48a0-af83-c02318f6957c,Birds of a Feather - Billie Eilish,2021,Mayo,7368,212
d1caaf2d-8fa8-4901-af66-2177a4921985,The Black Dog - Taylor Swift,2015,Septiembre,1223,128
5ac06368-ad5a-4700-963b-f998c203d755,What Was I Made For? - Billie Eilish,2024,Diciembre,316807,33070
ca5f1224-3b76-43e7-b0db-8c1d97931b56,Robin - Taylor Swift,2023,Diciembre,46728,7100
ad76278a-55ba-4992-968e-599e61207611,Wish You Were Sober,2023,Abril,9055,1261
fc6eb47c-05ed-481e-8428-2f7907598a61,Maniac,2023,Julio,8436,1173
346da869-1750-4409-9d5b-d086968418e7,Blinding Lights - The Weeknd,2021,Junio,335268,60591
84630841-0633-40ca-be35-8c3ff27cea92,Houdini - Dua Lipa,2015,Abril,91148,13010
b19a4eba-cd8e-4ee5-a721-e727b83fedb0,Anti-Hero - Taylor Swift,2023,Noviembre,7451,963
1e5c1603-33c4-4a81-a341-06bb55b0ee12,I Can Do It With A Broken Heart - Taylor Swift,2019,Septiembre,3596,494
68a2a003-76db-4cfb-8e1d-3cd1de723417,The Story,2018,Abril,119732,9824
40a42eb3-ef70-48e1-ad46-35c6bcb4439c,I Can Do It With A Broken Heart - Taylor Swift,2023,Abril,851662,67480
bc7c0278-47c2-4c19-8ba3-40342950d453,Man in the Mirror,2022,Junio,7153,1313
