fecha,region,producto,categoria,cantidad,precio_unitario,vendedor,venta_total,mes,dia_semana
2024-01-01,Este,Tablet,Electrónica,9,150,Carlos,1350,January,Monday
2024-01-02,Oeste,Tablet,Accesorios,2,50,Carlos,100,January,Tuesday
2024-01-03,Norte,Monitor,Computación,2,150,Carlos,300,January,Wednesday
2024-01-04,Este,Tablet,Accesorios,2,800,María,1600,January,Thursday
2024-01-05,Este,Tablet,Accesorios,6,150,Ana,900,January,Friday
2024-01-06,Oeste,Monitor,Computación,3,50,Luis,150,January,Saturday
2024-01-07,Norte,Monitor,Electrónica,9,300,Carlos,2700,January,Sunday
2024-01-08,Norte,Laptop,Electrónica,4,150,Sofía,600,January,Monday
2024-01-09,Este,Teclado,Computación,1,300,Carlos,300,January,Tuesday
2024-01-10,Sur,Teclado,Electrónica,4,800,Sofía,3200,January,Wednesday
2024-01-11,Este,Tablet,Computación,1,500,María,500,January,Thursday
2024-01-12,Este,Teclado,Computación,5,800,Sofía,4000,January,Friday
2024-01-13,Este,Tablet,Accesorios,4,150,Luis,600,January,Saturday
2024-01-14,Este,Laptop,Computación,8,300,Ana,2400,January,Sunday
2024-01-15,Oeste,Monitor,Accesorios,8,300,Sofía,2400,January,Monday
2024-01-16,Norte,Monitor,Electrónica,7,50,Sofía,350,January,Tuesday
2024-01-17,Oeste,Monitor,Electrónica,3,300,Ana,900,January,Wednesday
2024-01-18,Oeste,Teclado,Electrónica,1,50,Luis,50,January,Thursday
2024-01-19,Oeste,Laptop,Electrónica,1,500,Carlos,500,January,Friday
2024-01-20,Este,Teclado,Accesorios,3,150,Sofía,450,January,Saturday
2024-01-21,Sur,Teclado,Electrónica,6,50,Ana,300,January,Sunday
2024-01-22,Norte,Laptop,Computación,7,500,María,3500,January,Monday
2024-01-23,Sur,Laptop,Computación,6,300,Ana,1800,January,Tuesday
2024-01-24,Oeste,Laptop,Computación,6,300,María,1800,January,Wednesday
2024-01-25,Oeste,Laptop,Accesorios,6,500,Luis,3000,January,Thursday
2024-01-26,Sur,Monitor,Electrónica,3,300,Carlos,900,January,Friday
2024-01-27,Sur,Celular,Electrónica,6,500,Ana,3000,January,Saturday
2024-01-28,Sur,Celular,Electrónica,8,50,Sofía,400,January,Sunday
2024-01-29,Oeste,Laptop,Accesorios,2,50,Luis,100,January,Monday
2024-01-30,Oeste,Celular,Computación,5,500,Ana,2500,January,Tuesday
2024-01-31,Norte,Celular,Computación,1,50,Sofía,50,January,Wednesday
2024-02-01,Norte,Laptop,Electrónica,1,50,Ana,50,February,Thursday
2024-02-02,Oeste,Celular,Computación,5,50,María,250,February,Friday
2024-02-03,Sur,Teclado,Computación,3,800,Ana,2400,February,Saturday
2024-02-04,Sur,Tablet,Accesorios,4,150,Ana,600,February,Sunday
2024-02-05,Norte,Tablet,Accesorios,3,300,Ana,900,February,Monday
2024-02-06,Oeste,Laptop,Accesorios,1,800,Luis,800,February,Tuesday
2024-02-07,Norte,Monitor,Accesorios,1,50,Ana,50,February,Wednesday
2024-02-08,Norte,Laptop,Electrónica,5,500,Sofía,2500,February,Thursday
2024-02-09,Este,Monitor,Accesorios,6,50,María,300,February,Friday
2024-02-10,Este,Tablet,Computación,3,150,María,450,February,Saturday
2024-02-11,Este,Laptop,Electrónica,9,50,Ana,450,February,Sunday
2024-02-12,Sur,Teclado,Computación,5,500,Luis,2500,February,Monday
2024-02-13,Oeste,Celular,Computación,8,150,Luis,1200,February,Tuesday
2024-02-14,Oeste,Monitor,Computación,1,50,Sofía,50,February,Wednesday
2024-02-15,Oeste,Celular,Accesorios,5,150,Ana,750,February,Thursday
2024-02-16,Oeste,Celular,Accesorios,3,300,María,900,February,Friday
2024-02-17,Este,Laptop,Electrónica,1,300,Luis,300,February,Saturday
2024-02-18,Sur,Celular,Electrónica,4,50,Ana,200,February,Sunday
2024-02-19,Sur,Teclado,Accesorios,5,150,Luis,750,February,Monday
2024-02-20,Este,Celular,Computación,7,500,Luis,3500,February,Tuesday
2024-02-21,Sur,Laptop,Electrónica,1,50,María,50,February,Wednesday
2024-02-22,Este,Teclado,Accesorios,3,300,Carlos,900,February,Thursday
2024-02-23,Oeste,Tablet,Accesorios,2,300,Sofía,600,February,Friday
2024-02-24,Este,Celular,Accesorios,9,50,Sofía,450,February,Saturday
2024-02-25,Oeste,Laptop,Computación,6,150,María,900,February,Sunday
2024-02-26,Oeste,Tablet,Accesorios,3,300,Luis,900,February,Monday
2024-02-27,Norte,Tablet,Accesorios,8,150,Ana,1200,February,Tuesday
