id_persona,sexo,salario_mensual_mxn
1,Mujer,8835.21
2,Hombre,7577.81
3,Hombre,11114.6
4,Hombre,15053.63
5,Mujer,5546.31
6,Mujer,5546.38
7,Mujer,13706.46
8,Hombre,11653.46
9,Hombre,6087.37
10,Hombre,10641.52
11,Hombre,6114.62
12,Hombre,6104.22
13,Hombre,9288.83
14,Hombre,1000.0
15,Mujer,1000.0
16,Hombre,5669.71
17,Hombre,3642.26
18,Mujer,8014.11
19,Mujer,2513.89
20,Hombre,1844.63
21,Mujer,13195.42
22,Mujer,5584.01
23,Hombre,8503.88
24,Hombre,1788.63
25,Mujer,4150.28
26,Hombre,8699.15
27,Hombre,3020.53
28,Hombre,9890.64
29,Mujer,3897.13
30,Mujer,5287.38
31,Mujer,3892.32
32,Mujer,14935.25
33,Hombre,8139.26
34,Mujer,1840.3
35,Hombre,11901.45
36,Mujer,1106.2
37,Mujer,7539.89
38,Mujer,1000.0
39,Mujer,1000.0
40,Mujer,7485.88
41,Mujer,9923.1
42,Hombre,8971.16
43,Hombre,7679.58
44,Hombre,6845.03
45,Hombre,1546.65
46,Hombre,4960.7
47,Hombre,6127.13
48,Hombre,12957.05
49,Mujer,8146.28
50,Hombre,1000.0
51,Hombre,9658.38
52,Hombre,6467.13
53,Hombre,5153.85
54,Mujer,9352.54
55,Mujer,11239.5
56,Mujer,10790.76
57,Hombre,4423.52
58,Mujer,5208.54
59,Hombre,9690.69
60,Hombre,12589.95
61,Mujer,4443.72
62,Mujer,5764.53
63,Mujer,1621.49
64,Mujer,1217.07
65,Mujer,10256.37
66,Mujer,12703.08
67,Hombre,7875.95
68,Hombre,12715.9
69,Hombre,9827.36
70,Hombre,5296.96
71,Hombre,9826.28
72,Mujer,13521.16
73,Mujer,6438.78
74,Hombre,15240.9
75,Mujer,1000.0
76,Hombre,11898.56
77,Mujer,6991.71
78,Hombre,6854.47
79,Hombre,8612.92
80,Hombre,1000.0
81,Mujer,5611.48
82,Hombre,9807.01
83,Mujer,13250.52
84,Mujer,4267.78
85,Hombre,4561.78
86,Hombre,5942.09
87,Mujer,10719.31
88,Hombre,9679.38
89,Hombre,5816.08
90,Hombre,10509.7
91,Hombre,8636.85
92,Mujer,10958.9
93,Mujer,3440.76
94,Hombre,6725.52
95,Hombre,6435.51
96,Hombre,1614.18
97,Mujer,7932.54
98,Hombre,9374.75
99,Mujer,6623.01
100,Mujer,5544.36
101,Hombre,1830.83
102,Mujer,4707.1
103,Mujer,5057.78
104,Hombre,4589.75
105,Hombre,7474.21
106,Mujer,8418.23
107,Hombre,16687.84
